Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly,Effectiveness
COUNT THE NUMBER OF CREDIT CARDS THAT THE CUSTOMER WITH FIRST NAME BLANCHE AND LAST NAME HUELS HAS,"SELECT COUNT(*) FROM CUSTOMERS_CARDS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T2.CUSTOMER_FIRST_NAME  =  ""BLANCHE"" AND T2.CUSTOMER_LAST_NAME  =  ""HUELS"" AND T1.CARD_TYPE_CODE  =  ""CREDIT""","SELECT T2.CUSTOMER_FIRST_NAME ,  T2.CUSTOMER_LAST_NAME FROM ACCOUNTS AS T1 JOIN CUSTOMERS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.ACCOUNT_NAME  =  ""900""",,1,0.70164642,0.8,Very Good
WHAT ARE THE LAST NAMES OF THE TEACHERS WHO TEACH THE STUDENT CALLED GELL TAMI,"SELECT T2.LASTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.FIRSTNAME  =  ""GELL"" AND T1.LASTNAME  =  ""TAMI""","SELECT T2.LASTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.FIRSTNAME  =  ""GELL"" AND T1.LASTNAME  =  ""TAMI""","SELECT T2.LASTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE T1.FIRSTNAME  =  ""GELL"" AND T1.LASTNAME  =  ""TAMI""",2,1,1,Excellent
LIST THE IDS OF THE PROBLEMS FROM THE PRODUCT VOLUPTATEM THAT ARE REPORTED AFTER 1995,"SELECT T1.PROBLEM_ID FROM PROBLEMS AS T1 JOIN PRODUCT AS T2 ON T1.PRODUCT_ID = T2.PRODUCT_ID WHERE T2.PRODUCT_NAME = ""VOLUPTATEM"" AND T1.DATE_PROBLEM_REPORTED > ""1995""","SELECT T1.PROBLEM_ID FROM PROBLEMS AS T1 JOIN STAFF AS T2 ON T1.REPORTED_BY_STAFF_ID = T2.STAFF_ID WHERE T2.STAFF_LAST_NAME = ""BOSCO""",,1,0.65327458,0.2,Very Good
WHAT ARE THE TYPES OF VOCALS THAT THE BAND MEMBER WITH THE FIRST NAME SOLVEIG PLAYED THE MOST,"SELECT TYPE FROM VOCALS AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE FIRSTNAME  =  ""SOLVEIG"" GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1","SELECT TYPE FROM VOCALS AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE FIRSTNAME  =  ""SOLVEIG"" GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1","SELECT TYPE FROM VOCALS AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE FIRSTNAME  =  ""SOLVEIG"" GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1",2,1,1,Excellent
WHAT ARE THE DETAILS OF THE SHOPS THAT CAN BE ACCESSED BY WALK,"SELECT T1.SHOP_DETAILS FROM SHOPS AS T1 JOIN TOURIST_ATTRACTIONS AS T2 ON T1.SHOP_ID  =  T2.TOURIST_ATTRACTION_ID WHERE T2.HOW_TO_GET_THERE  =  ""WALK""","SELECT T1.SHOP_DETAILS FROM SHOPS AS T1 JOIN TOURIST_ATTRACTIONS AS T2 ON T1.SHOP_ID  =  T2.TOURIST_ATTRACTION_ID WHERE T2.HOW_TO_GET_THERE  =  ""WALK""","SELECT T1.SHOP_DETAILS FROM SHOPS AS T1 JOIN TOURIST_ATTRACTIONS AS T2 ON T1.SHOP_ID  =  T2.TOURIST_ATTRACTION_ID WHERE T2.HOW_TO_GET_THERE  =  ""WALK""",2,1,1,Excellent
FIND THE NUMBER OF PROFESSORS IN ACCOUNTING DEPARTMENT,"SELECT COUNT(*) FROM PROFESSOR AS T1 JOIN DEPARTMENT AS T2 ON T1.DEPT_CODE  =  T2.DEPT_CODE WHERE DEPT_NAME  =  ""ACCOUNTING""","SELECT COUNT(*) FROM PROFESSOR AS T1 JOIN DEPARTMENT AS T2 ON T1.DEPT_CODE  =  T2.DEPT_CODE WHERE DEPT_NAME  =  ""ACCOUNTING""","SELECT COUNT(*) FROM PROFESSOR AS T1 JOIN DEPARTMENT AS T2 ON T1.DEPT_CODE  =  T2.DEPT_CODE WHERE DEPT_NAME  =  ""ACCOUNTING""",2,1,1,Excellent
ON WHAT DATES DID THE STUDENT WHOSE PERSONAL NAME IS KARSON ENROLL IN AND COMPLETE THE COURSES,"SELECT T1.DATE_OF_ENROLMENT ,  T1.DATE_OF_COMPLETION FROM STUDENT_COURSE_ENROLMENT AS T1 JOIN STUDENTS AS T2 ON T1.STUDENT_ID  =  T2.STUDENT_ID WHERE T2.PERSONAL_NAME  =  ""KARSON""",SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.DRIBBLING  =  ( SELECT MAX(OVERALL_RATING) FROM PLAYER_ATTRIBUTES),,0,0.45,0,Good
FIND THE TEAM THAT ATTENDED THE LEAST NUMBER OF HOME GAMES IN 1980,SELECT T2.NAME FROM HOME_GAME AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID = T2.TEAM_ID_BR WHERE T1.YEAR = 1980 ORDER BY T1.ATTENDANCE ASC LIMIT 1;,SELECT T2.NAME FROM HOME_GAME AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID = T2.TEAM_ID_BR WHERE T1.YEAR = 1980 ORDER BY T1.ATTENDANCE ASC LIMIT 1;,SELECT T2.NAME FROM HOME_GAME AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID = T2.TEAM_ID_BR WHERE T1.YEAR = 1980 ORDER BY T1.ATTENDANCE ASC LIMIT 1;,2,1,1,Excellent
FIND THE START AND END DATES OF DETENTIONS OF TEACHERS WITH LAST NAME SCHULTZ,"SELECT T1.DATETIME_DETENTION_START ,  DATETIME_DETENTION_END FROM DETENTION AS T1 JOIN TEACHERS AS T2 ON T1.TEACHER_ID  =  T2.TEACHER_ID WHERE T2.LAST_NAME  =  ""SCHULTZ""","SELECT T1.THEME ,  T1.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.TICKET_PRICE  >  (SELECT AVG(TICKET_PRICE) FROM EXHIBITION)",,0,0.47673129,0,Good
WHAT ARE THE DETAILS FOR STATEMENTS WITH THE DETAILS 'PRIVATE PROJECT' AND WHAT ARE THE NAMES OF THE CORRESPONDING DOCUMENTS,"SELECT T1.STATEMENT_DETAILS ,  T2.DOCUMENT_NAME FROM STATEMENTS AS T1 JOIN DOCUMENTS AS T2 ON T1.STATEMENT_ID  =  T2.DOCUMENT_ID WHERE T1.STATEMENT_DETAILS  =  'PRIVATE PROJECT'",SELECT T1.TITLE FROM ITEM AS T1 JOIN REVIEW AS T2 ON T1.I_ID  =  T2.I_ID WHERE T2.RATING  =  10,,0,0.5161854,0,Good
