Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly
SHOW THE TIMES USED BY CLIMBERS TO CLIMB MOUNTAINS IN COUNTRY UGANDA,"SELECT T1.TIME FROM CLIMBER AS T1 JOIN MOUNTAIN AS T2 ON T1.MOUNTAIN_ID  =  T2.MOUNTAIN_ID WHERE T2.COUNTRY  =  ""UGANDA""","SELECT T1.TIME FROM CLIMBER AS T1 JOIN MOUNTAIN AS T2 ON T1.MOUNTAIN_ID  =  T2.MOUNTAIN_ID WHERE T2.COUNTRY  =  ""UGANDA""","SELECT T1.TIME FROM CLIMBER AS T1 JOIN MOUNTAIN AS T2 ON T1.MOUNTAIN_ID  =  T2.MOUNTAIN_ID WHERE T2.COUNTRY  =  ""UGANDA""",2,1,1
WHAT IS THE TEMPERATURE OF SHANGHAI CITY IN JANUARY,"SELECT T2.JAN FROM CITY AS T1 JOIN TEMPERATURE AS T2 ON T1.CITY_ID = T2.CITY_ID WHERE T1.CITY = ""SHANGHAI""","SELECT T2.JAN FROM CITY AS T1 JOIN TEMPERATURE AS T2 ON T1.CITY_ID = T2.CITY_ID WHERE T1.CITY = ""SHANGHAI""","SELECT T2.JAN FROM CITY AS T1 JOIN TEMPERATURE AS T2 ON T1.CITY_ID = T2.CITY_ID WHERE T1.CITY = ""SHANGHAI""",2,1,1
WHAT ARE THE FIRST NAMES OF THE TEACHERS WHO TEACH GRADE 1,SELECT DISTINCT T2.FIRSTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE GRADE  =  1,SELECT DISTINCT T2.FIRSTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE GRADE  =  1,SELECT DISTINCT T2.FIRSTNAME FROM LIST AS T1 JOIN TEACHERS AS T2 ON T1.CLASSROOM  =  T2.CLASSROOM WHERE GRADE  =  1,2,1,1
FIND THE TOTAL AMOUNT OF PRODUCTS ORDERED BEFORE 2018-03-17 071353,"SELECT SUM(T2.ORDER_QUANTITY) FROM CUSTOMER_ORDERS AS T1 JOIN ORDER_ITEMS AS T2 ON T1.ORDER_ID  =  T2.ORDER_ID WHERE T1.ORDER_DATE  <  ""2018-03-17 07:13:53""","SELECT T1.PRODUCT_NAME FROM PRODUCTS AS T1 JOIN REF_COLORS AS T2 ON T1.COLOR_CODE  =  T2.COLOR_CODE WHERE T2.COLOR_DESCRIPTION  =  'WHITE""",,0,0.50572174,0
WHAT IS THE LAST NAME OF THE PROFESSOR WHOSE OFFICE IS LOCATED IN DRE 102 AND WHEN WERE THEY HIRED,"SELECT T1.EMP_LNAME ,  T1.EMP_HIREDATE FROM EMPLOYEE AS T1 JOIN PROFESSOR AS T2 ON T1.EMP_NUM  =  T2.EMP_NUM WHERE T2.PROF_OFFICE  =  'DRE 102'","SELECT T1.CATALOG_NAME ,  T1.TITLE FROM SHOP AS T1 JOIN HAPPY_HOUR AS T2 ON T1.SHOP_ID  =  T2.SHOP_ID WHERE MONTH  =  'MAY'",,0,0.56428809,0
COUNT THE NUMBER OF GAMES TAKEN PLACE IN PARK COLUMBIA PARK IN 1907,SELECT COUNT(*) FROM HOME_GAME AS T1 JOIN PARK AS T2 ON T1.PARK_ID  =  T2.PARK_ID WHERE T1.YEAR = 1907 AND T2.PARK_NAME = 'COLUMBIA PARK';,SELECT COUNT(*) FROM HOME_GAME AS T1 JOIN PARK AS T2 ON T1.PARK_ID  =  T2.PARK_ID WHERE T1.YEAR = 1907 AND T2.PARK_NAME = 'COLUMBIA PARK';,SELECT COUNT(*) FROM HOME_GAME AS T1 JOIN PARK AS T2 ON T1.PARK_ID  =  T2.PARK_ID WHERE T1.YEAR = 1907 AND T2.PARK_NAME = 'COLUMBIA PARK';,2,1,1
SHOW THE DISTINCT FATE OF MISSIONS THAT INVOLVE SHIPS WITH NATIONALITY UNITED STATES,"SELECT DISTINCT T1.FATE FROM MISSION AS T1 JOIN SHIP AS T2 ON T1.SHIP_ID  =  T2.SHIP_ID WHERE T2.NATIONALITY  =  ""UNITED STATES""","SELECT DISTINCT T1.NAME FROM ELECTION AS T1 JOIN REPRESENTATIVE AS T2 ON T1.REPRESENTATIVE_ID  =  T2.REPRESENTATIVE_ID WHERE T2.PARTY  =  ""US MUSEUM""",,0,0.6,0
SHOW THE PLAYERS AND YEARS PLAYED FOR PLAYERS FROM TEAM COLUMBUS CREW,"SELECT T1.PLAYER , T1.YEARS_PLAYED FROM PLAYER AS T1 JOIN TEAM AS T2 ON T1.TEAM  =  T2.TEAM_ID WHERE T2.NAME  =  ""COLUMBUS CREW""",SELECT AVG(T2.WINS) FROM POSTSEASON AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID_WINNER  =  T2.TEAM_ID_BR WHERE T2.NAME  =  'BOSTON RED STOCKINGS';,,1,0.50051733,0.2
WHAT IS THE TOTAL SALARY EXPENSES OF TEAM BOSTON RED STOCKINGS IN 2010,SELECT SUM(T1.SALARY) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2010,SELECT AVG(T1.SALARY) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS',,2,0.89544301,0.6
WHAT ARE THE DESCRIPTIONS OF THE CATEGORIES THAT PRODUCTS WITH PRODUCT DESCRIPTIONS THAT CONTAIN THE LETTER T ARE IN,SELECT T1.PRODUCT_CATEGORY_DESCRIPTION FROM REF_PRODUCT_CATEGORIES AS T1 JOIN PRODUCTS AS T2 ON T1.PRODUCT_CATEGORY_CODE  =  T2.PRODUCT_CATEGORY_CODE WHERE T2.PRODUCT_DESCRIPTION LIKE '%T%',"SELECT T1.DIRECTOR ,  T1.TITLE FROM ALBUMS AS T1 JOIN TEAM AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.NAME  =  ""DEPUTY"" AND T1.YEAR  =  2010",,0,0.43052839,0
REPORT THE TOTAL NUMBER OF DEGREES GRANTED BETWEEN 1998 AND 2002,"SELECT T1.CAMPUS ,  SUM(T2.DEGREES) FROM CAMPUSES AS T1 JOIN DEGREES AS T2 ON T1.ID  =  T2.CAMPUS WHERE T2.YEAR  >=  1998 AND T2.YEAR  <=  2002 GROUP BY T1.CAMPUS","SELECT T2.ZIP_POSTCODE FROM CUSTOMERS AS T1 JOIN ADDRESSES AS T2 ON T1.CUSTOMER_ADDRESS_ID = T2.ADDRESS_ID WHERE T1.FIRST_NAME = ""CAROLE"" AND T1.LAST_NAME = ""BERNHARD""",,0,0.41996053,0
WHAT IS ALL THE JOB HISTORY INFO DONE BY EMPLOYEES EARNING A SALARY GREATER THAN OR EQUAL TO 12000,SELECT * FROM  JOB_HISTORY AS T1 JOIN EMPLOYEES AS T2 ON T1.EMPLOYEE_ID  =  T2.EMPLOYEE_ID WHERE T2.SALARY  >=  12000,SELECT AVG(T1.SALARY) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS',,0,0.46537892,0
FIND THE ID OF USERS WHO ARE FOLLOWED BY MARY OR SUSAN,"SELECT T2.F1 FROM USER_PROFILES AS T1 JOIN FOLLOWS AS T2 ON T1.UID  =  T2.F2 WHERE T1.NAME  =  ""MARY"" OR T1.NAME  =  ""SUSAN""",SELECT COUNT(*) FROM RESERVATIONS AS T1 JOIN ROOMS AS T2 ON T1.ROOM  =  T2.ROOMID WHERE T2.MAXOCCUPANCY  =  T1.ADULTS + T1.KIDS;,,0,0.42905817,0
